Apostolic Foundations - Preaching

00:00 -  Praise the Lord. Oh hallelujah. You better watch me this morning.
00:16 -  I'm too full of sap and juice. So I'm in greater danger of lapsing into myself. You're far safer when I'm tired.
00:34 -  Then we are assured that it's the Lord alone. But my spirit is just flowing over this morning. I'm just rejoicing within.
00:52 -  And was humming this chorus all the way here within the veil. I now do come into the holy place. You know what I love about God?
01:13 -  He's not theatrical. He's not interested in performances. Last night was not just a little affectation to be appropriate for an evening service.
01:33 -  And then today we face the cold gray dawn. You know what was real last night is real yet also today. We're still abiding in that place.
01:49 -  Hallelujah. Well I have already announced the title of this morning's talk. I got it somewhere between 4.30 and 5 this morning.
02:10 -  On the cold tile floor of the bathroom. Unpretentiously in my underwear. And yet within the veil.
02:25 -  I got it in communion with God in that place. And I think he especially did it for your sake. Because I think you have a certain tendency to be romantic.
02:42 -  And to idealize things. He just wants to persuade you that you can meet him in the holiest place of all even in the bathroom. There's a remarkable and holy conjunction between the sublime and heavenly things and that which is earthly.
03:12 -  It's that very thing which makes it glorious. How do I put this on the front? You want to take your shirt off?
03:32 -  So I love this about God. And I hope you appreciate that too. Romanticism and idealism is the last stubborn holdout of humanism.
03:57 -  And for this reason many of us are disillusioned about the church. It does not measure up to our ideal. And we become disillusioned.
04:14 -  And withdraw ourselves. God wants us to face it in its utter reality. In its sublime ordinariness.
04:33 -  To embrace it in its present infantile condition. Not to despise that child. But to pick it up as Simeon did of old as it came into the temple for dedication.
04:57 -  And to see in it what he saw in it. My eyes have seen the salvation of the Lord. He blessed the Lord and he said, my eyes have seen thy salvation.
05:17 -  And he saw that in an unpretentious child. Yet ill-formed and immature. We need to see that also.
05:33 -  And to embrace that child in its present condition. That it might grow in grace. And come into the maturity of a son.
05:47 -  That's not my subject for this morning. My subject this morning is apostolic preaching. The authoritative word.
06:04 -  The word that goes beyond mere instruction. Beyond that which is informational. The creative word.
06:18 -  The word that comes as event. The word that produces change. That establishes.
06:29 -  We need to come to expect such a word. Part of our maturity will be reflected by that anticipation. The whole respect and reverence for the word of God and the word that is preached and spoken.
06:50 -  Needs to be elevated in the body of Christ. It's remarkable how much I hear spoken against the preached word. It's remarkable how much I hear spoken against the preached word.
07:10 -  It's remarkable how much I hear spoken against the preached word. It's remarkable how much I hear spoken against the preached word. Well that's only preaching.
07:24 -  But it's only a preaching. I sense that the word is being deprecated. It's being devalued and lowered.
