Apostolic Foundations 11

00:00 -  There's a book called the Apostolic Imperative. Don't get scared. I'm not going to read it.
00:06 -  Probably just hold it up. It was possibly an inspiration for these days, although I disagree with this eminent Lutheran theologian in a few places, but considering the world, the very title itself is worth
00:23 -  the price. And that is written by a Lutheran theologian called Bratton is a statement that something is indeed stirring on a chapter entitled The Apostolic Foundations of Ministry.
00:36 -  Here's how he begins. The precarious state of the ministry today, the promise of renewal of the church's mission depends on the recovery of the apostolic ministry in the church today.
00:51 -  Can you believe that? And then every church denomination and sect has laid claim to ministry, which in all essentials is apostolic.
01:01 -  They all profess that their ministry stand in apostolic succession. That is because every kind of Christian community lives or dies by its ability to transmit the true apostolic stuff, whatever that is.
01:17 -  So whatever that is, is what we have been seeking to speak about in these weeks, but that this kind of acknowledgement is impinging and touching upon the consciousness of men and ivy powered places is a remarkable statement of the recognition that is coming to them
01:35 -  of their great need. So the apostolic imperative is what we've been talking about, for example, what is the apostolic imperative of the church toward Israel to move them to jealousy and that by
01:48 -  your mercy, they might know mercy. What's the apostolic imperative of the church for the principalities and the powers to unseat them and to reveal the fraudulent thing that they are and one day to displace them in the
02:00 -  governmental realm? Hey, we've got quite an agenda, no light task on the things that are apostolic. So if that's the apostolic imperative, what is the apostolic fulfillment?
02:11 -  That's what your pastor is going to speak about for three weeks. I want to take a little shot at it tonight. I want to begin by taking a look at a statement in the Book of Hebrews in the third chapter
02:40 -  and maybe going through Hebrews a little bit to express what the Lord has put on my heart. The authorship of Hebrews is disputed by the scholars. I like to believe that Paul is that author.
02:57 -  If it proves to be another, it's a man of the same apostolic timber, the same apprehension and awareness of all that was in Paul's deepest spirit. Paul is the essential apostle and what is apostolic is the picture of the foundation
03:17 -  that God intends for the church and the totality of the church. Chapter three of Hebrews begins, Therefore, holy brethren, who share in a heavenly call, consider Jesus the apostle and high priest of our confession.
03:34 -  I want to speak tonight about the conjunction of two words, apostolic and priestly. Jesus is the apostle and the high priest of our confession and we ought to consider him in both things.
03:50 -  I want to say by faith that these two terms are inextricably linked. You can no more attain to the thing that is apostolic, independent of what is priestly, than you can be priestly without touching the thing that is apostolic.
04:08 -  They are forever linked in the wisdom of God. These two great things, whatever they mean or whatever that stuff is that Paul Broughton refers to that I've quoted, this priestliness is a lost thing to the consciousness of modern
04:26 -  saints. The only time we ever think of it or hear of it is somehow when we hear a teaching about Aaronic priesthood or Old Testament priesthood or the nomenclature of priesthood or what
04:39 -  they wore or what they did or the tabernacle in some kind of historic description. It's like a piece of antiquity or something ancient and somehow unrelated to the things that are that make up our life.
