Apostolic Foundations

00:00 -  We have been speaking on apostolic foundations. True apostolicity. What is this particular thing?
00:15 -  How is it to be defined and understood? It's a critical and a key word. And we have been carefully proceeding for the two occasions to begin to explore it.
00:36 -  It deserves our deepest attention. But we began to be aware that what is apostolic is ultimate. That's the very nature of the thing.
00:55 -  It's ultimate in its requirement. It has an ultimate view of God and His purposes. An ultimate sense of eternity in time.
01:15 -  It's passionate about the ultimate issues of God. The day of the Lord and His soon coming wrath, His judgment. The Lord's own coming.
01:32 -  The kinds of things which have become only doctrine or concepts in our time. To which we subscribe as being correct. But we have lost the power of it.
01:51 -  The dynamic of the apostolic perception of these things. Which needs to be reclaimed and to be restored. Because the church that is no longer apostolic is no longer the church.
02:10 -  I realize that I take a risk in making such a statement. Because I believe that you even have a denomination with that word apostolic in this country. Not in the German though.
02:22 -  Because I believe that you even have a denomination with that name here in this country. Everything conspires against us. Every power in hell and in the world is bent against the proclamation of apostolic things.
02:39 -  Every power in hell and in the world is bent against apostolic things. The restoration of apostolic reality. For what it ultimately is.
02:54 -  It's not a set of correct concepts. It's a vital and powerful faith. That if you subscribe to it in truth.
03:12 -  It will make you mad. It's beyond foolishness. It will condemn you to being a stranger, a pilgrim and a sojourner in the earth.
03:25 -  Now in this generation. Not only in the world. But Christendom itself.
03:35 -  It's so radical. We came to a point in the last meeting. Where I sensed the futility of going on.
03:46 -  Where I sensed that it was pointless to go on. My own faith was stretched to breaking. My own faith was stretched to breaking.
03:57 -  I found it difficult to believe that such things could be understood by a Swiss audience today. I found it difficult to believe that such things could be understood by a Swiss audience today. To believe it seriously.
04:11 -  Or even just wish it. Not only should we be such a community at the end of this age. Which should again walk in this authority and power.
04:28 -  And I asked a question at the end of this evening. And I think it was divinely inspired. It wasn't part of my own thought.
04:38 -  Do we have an apostolic intention? Because if we don't have that. If we don't desire the reality of what is apostolic.
04:49 -  If we don't desire the reality of what is apostolic. What is the purpose of the examination of that subject? And this is what I sensed in my spirit.
05:00 -  We really do not have that intent. We don't want as a people to go that far. We don't want as a people to go that far.
05:10 -  We have unconsciously at least set limitations. We have unconsciously at least set limitations. We are willing to be serious and responsible Christians.
05:20 -  We are willing to be serious and responsible Christians. We are willing to give ourselves to a degree. We are willing to give ourselves to a degree.
05:29 -  But that which is apostolic. But that which is apostolic. Is ultimate.
05:38 -  And requires everything. So that's the title of tonight's final message. And that's the title of today's final message.
05:47 -  Apostolic intention. Do we have that apostolic intention? Because even in our own conversations across the street
06:01 -  we were touching very interesting points of agreement and disagreement. We were touching very interesting points of agreement and disagreement. What do I myself represent to these children?
06:11 -  What do I myself represent to these children? Which I've known for 10 years? How am I perceived by them?
06:20 -  And the kind of message that I bear? Even with the advantage of our long relationships? Even with the advantage of our long relationships?
06:29 -  Am I a curiosity? Am I a kind of a quaint feature in the body of Christ? Am I a kind of a quaint feature in the body of Christ?
06:38 -  As someone whom we can afford to hear from time to time? As someone whom we can afford to hear from time to time? But not too frequently.
06:47 -  And it's interesting to hear. But it's not intended to be taken totally seriously. But it's not intended to be taken totally seriously.
06:56 -  It's really something that will bring us into a greater balance. It's really something that will bring us into a greater balance. It's a counterbalancing message.
