God Requires the Past

00:00 -  Worship before me? All nations. Why?
00:12 -  Because thy judgments have been made manifest. What a wonderful summary of what God has been saying in these days. But there is more than a speaking that is taking place.
00:30 -  There is a birthing, an event. Something is about to be born. It is just about out of the womb now.
00:46 -  We need only to cut the last connection and release it. And we are the participants together in that birth. I have such a sense of history tonight.
01:02 -  Something is about to be birthed of eternal significance. Something is about to be birthed of eternal significance. I even tried to find another subject for tonight and the Lord would not allow me.
01:30 -  I said Lord they have had enough of this history and judgment. Give us another theme, another conclusion. But he will not.
01:44 -  We have to press all the way through. And I am glad that it is just a family tonight. This is a family affair.
02:02 -  An intimate birthing. I want you to understand this. What is taking place goes through us and beyond us tonight into the nation itself.
02:26 -  So we need as the word is coming forth to lend ourselves to it. Pray in the spirit for this word. I have never undertaken anything more difficult or more complicated than this speaking.
02:54 -  It is a mystery of God. It is a divine perspective so different from our natural thinking that we stagger to hear it. The word that offends us and attacks every natural human sensibility.
03:24 -  It turns our world upside down. But it is the perspective of God from heaven. It needs to be made known to men in the earth.
03:42 -  And that is what the church is. It is a ladder ascending to heaven with angels ascending and descending. It is Jacob's ladder.
04:00 -  It is the house of God. Jesus said that you have been impressed that I said to you Nathaniel that I saw you standing under the fig tree. I show you a greater thing.
04:14 -  He is angels ascending and descending on the son of man. It is the church in the house of God. We are those angels.
04:48 -  To bring from heaven down to earth the message of God. Let's pray tonight. Bring forth precious God by your spirit we pray.
05:12 -  Your holy word. Your event in the earth. Birth that we pray.
05:24 -  That there might be rejoicing in eternity. Because you have sent the word. Give us a word for the nation of Japan.
05:40 -  That shall affect all Asia. And bring eternal rejoicing. Rather than eternal sorrow.
05:54 -  We thank you and praise you for this. And give you all the glory. In Jesus name we pray.
06:14 -  My text tonight is Ecclesiastes the third chapter. Verse 10 reads, I have seen the task which God has given the sons of men with which to occupy themselves. He has made everything appropriate in its time.
06:40 -  He has also set eternity in their hearts. God has given us a task. A holy task.
07:02 -  One that justifies all of our being. And he has made it appropriate in his time. Because he has also set eternity in our hearts.
07:16 -  Haven't you thought it strange that we have been speaking so much about the past in these days? And I shall be speaking of it again tonight. But not in a way that men in the world understand it.
07:44 -  It is given to us to see the past in a radically different way. Why? Because he has set eternity in our hearts.
08:02 -  Because we have alone a view of the future. Therefore we are qualified alone to see and to understand the past. I have never seen this before tonight.
08:20 -  I have never spoken this before tonight. Something is being birthed in my own understanding. Something that is unique to us, our task.
08:34 -  Because he has set eternity in our hearts. Because it is real. More real than the things that are visible.
08:48 -  Therefore we can see the past in a different way. The 14th verse says, I know that everything God does will remain forever. There is nothing to add to it, there is nothing to take away from it.
09:06 -  There is nothing to add to it, there is nothing to take away from it. For God has so worked that men should fear him. For us history is no accumulation of accidents.
