Israel   A Prophetic Glimpse

00:00 -  Well, here's a little booklet on the nature of the prophetic call. I don't know if you even believe that there are prophets today. And if there is, what are they?
00:13 -  How are they to be identified? And are there true prophets and also false prophets? And how are they to be distinguished?
00:21 -  What is prophetic is more than a casual and academic question because, get this, it's not only individual men like myself called to the prophetic calling, the church at large is called to be a prophetic entity in the world.
00:42 -  That means you are the ones who should have interpreted for the nation the meaning of the devastation of the trade powers and the Pentagon. You are the ones that should have called the nation to an awareness of what that meant
00:55 -  in view of God's sovereignty. Were you able to? Did you have the perspicacity, the understanding of seeing in events and through them the hand
01:06 -  of God? Or are you offended even to suggest that God might be in catastrophe and disaster? Or that he might be a God of judgment?
01:16 -  Or that this might be a preliminary judgment to wake a nation from an eternal judgment for which it is sleeping? I commend this to you.
01:28 -  Reality, The Hope of Glory, an early book that has blessed generations of believers. A message here given in Jerusalem on Elijah that's classic. Spirit of truth.
01:39 -  Do you love the truth or tolerate it? You're respectful but not too close. Unless there's a love of the truth, we are candidates for deception.
01:52 -  And not just the truth in its mechanical dimensions, in its external agreement, but the spirit of truth. What do you mean by that, Art?
02:05 -  What I mean by that is that something can be ostensibly true and correct as for example preaching biblically and yet the spirit of the speaking could actually be a contradiction to the word being spoken.
02:22 -  And that the truth is the whole truth or nothing but the truth or it's a lie. So that something that is overtly and technically true, if it is not true through and through, is in fact a lie.
02:37 -  Because the truth is the whole truth or nothing but the truth. Not only about preaching but, ready for this, our own lives. Hey, are you the truth made flesh?
02:53 -  Are you true in yourself? Is your voice, your eyes, your posture, your gait consistent with what you believe and purport to believe?
03:02 -  Or is there a disparity between your credo and your language of faith and the actuality of your life as it in fact is truly? See what it's going to take to move Jews to jealousy?
03:18 -  Not just to espouse the truth but to be the truth. I want to tell you, dear saints, in this world which lies in the wicked one who is the father of lies from the beginning, we're not attained to that without suffering.
03:31 -  Because anyone who reads this through seriously from cover to cover, I assure you and guarantee you, or money back, that you'll be transformed. And for those really courageous ones, a book on the Holocaust, long overdue, but who would
03:51 -  have the temerity to write it but a Jew? Someone said only a Jew could have written it. Because it asks the question, where was God?
04:02 -  What do you mean not where was God? Yes, where was God? Six million Jews are being systematically annihilated, not in some archaic primeval
04:13 -  time, but in modern history. Not in some backward nation, but the most elevated cultured civilization in the world. Germany, the land of Goethe, Schiller, Schichter, Hegel, Nietzsche, Kant, Wagner.
04:27 -  Hey, where was God? Was he asleep? Was his back turned?
04:31 -  Oh, well he knew it of course not because he's omniscient, but he couldn't do anything about it because he was powerless. What?
04:39 -  An impotent God is not God. Come on, we've got to reconcile this conundrum. And if we seek to do so, it's going to open such a perspective of God that is long overdue
04:53 -  for us at the church. But we have domesticated him and made him a patsy and a little Jesus errand boy to tidy up after us or to suit our convenience.
05:05 -  We don't know God is God. This will help you. Just on this trip to Holland, I'm sharing it with so many people.
05:13 -  The precious mother of a Jewish believer who married an Israeli, lived in Israel for years, now back to Holland, she said, when I first heard you, Art, I was so deeply offended. Your suggestion that Israel and Jews would get to face yet a future calamity after the
05:29 -  Nazi Holocaust, I didn't want to hear that. I hoped for a happier ending and a resolution of Israel's present troubles. But I did my homework and I began to hear and listen to what you're saying and read.
05:42 -  And then she said, when the Holocaust book came into my hands, that was it. She said, not only have I come into an agreement with you, but you know what I realized? The God that I was worshiping and I called Jesus was really Santa Claus.
05:57 -  He was the projection of my own fancy, a nice God. But this opened up a perspective of God in a fullness that included his judgment that I had excluded because I had no stomach to consider God as judge, forgetting that his
06:14 -  garment is seamless and you can't pick those attributes that you like to the exclusion of others. Well, what is God's mercy except in view of judgment?
06:24 -  And in fact, the book says that judgment is his mercy. Oh, you dear saints, if you've got the courage to read this, it will profoundly affect your whole view of God and give you a view of the things pertaining to the end where not only
06:43 -  does it attempt a biblical understanding of the Nazi Holocaust, but it speaks of a Holocaust yet to come, which Jesus alluded to in Matthew 24 as one of the signs of the end of this coming, of a time of trouble that will eclipse anything the nation has ever before known
07:01 -  or will ever again know. At that time not be cut short, no flesh will survive. But for the elect's sake, that time will be cut short.
07:10 -  We better take Jesus seriously as a prophet who said not one stone will be left standing upon the other to the astonishment of his disciples. And in AD 1970, down came the glorious temple of God, that God did not think it too much
07:27 -  in the severity of his judgment even to bring down his own house. It was not sacrosanct. It was not a violate.
07:36 -  Judgment is devastating. And I'm saying that it's going to come again. And so I want to conclude, I haven't noticed when I began, with today's Psalm 81.
07:48 -  What do you mean today's Psalm 81? I mean it's my Psalm for the day. Don't you have a Psalm for the day?
07:55 -  Don't you have a devotional time? Aren't you up between 4 and 5 a.m. seeking the Lord and reading the Psalm for the day and having a time of prayer and communion with the Lord?
08:06 -  I commend it to you dear saints. This is my Psalm for today and it's remarkable. I won't read the whole thing.
08:19 -  I want to get to the heart of it where the psalmist cries out at the end of verse 5, I hear a voice I had not known. Because he's reviewing God's great goodness to Jacob as the God of Jacob
08:38 -  calling for a song, the tambourine, the sweet lyre, the harp, the trumpet at noon, full moon. For it is a statute of Israel in verse 4, an ordinance of the God of Jacob. He made a decree in Joseph when he went out against the land of Egypt or over the land of Egypt.
08:56 -  Here he's giving a report calling Israel to worship and to exalt the God who has been its faithful Savior, even out of slavery, and then all of a sudden the whole text shifts. And it's no longer the psalmist speaking, but he hears a voice.
09:13 -  It's now God speaking. God breaks in because something about what the psalmist is reviewing so provokes God that he's got to make his own direct statement.
