Romans  9 11 The Mystery of Israel

00:00 -  Romans, to be rightly understood, first eight chapters prepare us and fit us to contemplate what issues from 9 to 11, and what follows is the outworking and the logical implications and requirements of 9 to 11, that the first verse of chapter 12 is,
00:19 -  Therefore, brethren, must you therefore, therefore, in consideration of these things, make of your body a living sacrifice. While not being any fulfillment of this mystery, except on that basis, a consecration of that uttermost kind, we are a sacrifice before the
00:36 -  Lord. It's no small thing, and every power of darkness in hell can cleanse against the fulfillment of this mystery, which, as we read, is the issue of the glory of God forever. The last words of Romans 11, for of him and through him and to him are all things,
00:56 -  that will be glory forever. This is not a little rhetorical flourish. This is not just a little stylistic device to conclude a statement. This is the deepest cry of the apostolic heart, that the issue is more than Israel's redemption. Can you imagine any issue that could be more? For Israel's
01:17 -  redemption is the issue of the nations. It's the fulfillment, as Paul tells us, of the gifts and callings of God, that are irrevocable. He does not take them back. Once he declares that a nation is to be a nation of priests and a legend to the world, that must be fulfilled, or God is not God.
01:37 -  And that he will fulfill it against the very unwillingness of the nation to be that shows the remarkable issue that's at stake. It's enough for God to fulfill things when you have a willing people, or when he has a people who are intransigent, contrary, unwilling, wanting to be
01:56 -  like all of the nations, do not desire to be a distinctive nation with a distinctive cult, because all that it has meant to them in their history has been suffering. So when you tell a Jew, oh you're chosen, they'll be coiled, that's the last thing they want to hear. And they're
02:15 -  openly admitting, even in Israel, why don't you leave us alone already? We want to be like all of the nations. We want to be the Hong Kong of the Middle East. Our game is commerce, trade, finance, or culture. But don't tell us that we have a crawl. So for God to succeed in what he has already
02:38 -  proclaimed is the very issue of God himself. For should he fail, how then is he God? Can you understand that? How then shall we be an apostolic church if we're not jealous for the name of God, and for his success as God, for the issue of God to the nations is the issue
03:03 -  of the fulfillment of his work? And so the church, so the whole issue of God rests on the issue of Israel, and the whole issue of Israel rests upon the church that believes to be the instrument of its fulfillment, the Zion out of which the deliverer comes, as we hope to explicate as we come back to
03:27 -  Are you following along so far? I'm understating. I'm not exaggerating. If I'm guilty of anything, I'm understating the magnitude of what this represents. And I just want to make it a prayer that only by the grace that is given can we begin
03:49 -  to approach and comprehend this with an appropriateness, with an attitude appropriate to its significance. This requires a mercy. If it requires a mercy only to contemplate the mystery, what will it require to fulfill it? If it requires a mercy to explicate, what will it require
04:16 -  to perform it? So, and unless we realize that we need such mercy even to understand, even to appropriate, how shall we have a mercy to extend? Because the issue of Israel's restoration is that they might obtain mercy by those who are in a position to give it. So if mercy for us is only
04:43 -  an item of doctrine and a piece of vocabulary that we assent as being valid but do not know it in our experience, because we've not needed mercy, because we're self-sufficient Christians, and we're clever and we know how, and we can handle this, then we'll not have a mercy to give.
05:05 -  This is a, we're talking about palpable mercy. We're moving toward an hour of such crisis for world Jewry that except they receive mercy, they will perish. So it's got to be a very real mercy that can only be given by those who have obtained mercy. So that's what we need now. We
05:27 -  need to obtain mercy just to understand, and then of course to fulfill. As one of our brothers has asked me already at the breakfast table, how do we go about promulgating, making this known by mercy? Mercy is God. This is his essential attribute. This is his very nature so that the mercy that
05:56 -  will be required to be extended to an unbelieving and intransigent Israel is a revelation of God himself in the very process. He is revealed in being to Israel what he must, as the God of mercy. And because they will have received mercy, then they will extend mercy. And to whom will they
06:18 -  extend it? To Jordanians, Palestinians, Saudi Arabians, Egyptians, Iraqis, Iranians, every people who are presently the threat to their very existence and who hate their guts immeasurably. They will extend mercy because they will have obtained mercy.
06:42 -  Mercy. The applications of this are beyond any reckoning. And it's for the want of this consideration that we have gone to the biblical school, that we have lost faith, that we have lost hope because we did not know God as we ought to. If he can do this with Israel, the prime statement
07:03 -  in the world of infidelity, unfaithfulness, apostasy, false Gods, idolatry is Israel's middle name to this day. Marxism is idolatry. Socialism is idolatry. Zionism is idolatry. And if he can take a people like that who have blasphemed his name in every nation and make them
07:26 -  to show peace, the eternal statement of his glory, what can he not do for us? The issue of God is the issue of Israel and the issue of Israel is the issue of the church. But what kind of a church? A church that believes, a church that hopes, a church that knows,
07:49 -  a church that lives for the glory of God and knows that that glory must always be preceded by a suffering. If there's a suffering that precedes the glory or there is no glory, and it's distinctive because it's willing for that suffering, even in the circumstances of its own
08:07 -  life, in order that you should be glorified forever, that there are issues greater than compatibility or marital success or family harmony, it's the glory of God forever. And for that we're willing to pass through a no-man's-land of seeming
08:28 -  irresolvable, this harmony, to come to that which is not just the fixing of something up but the making of it a transcendent glory. My Lord, that's apostolic dissonance, to have a heart like that and a thought like that and expectation like that. That the great book
08:50 -  of Romans is born out of the expediency of a Roman church that is asking poor questions. So just in the workaday life of an apostle, tending to the practical demands of the church that is as it is growing and coming of age, this great missile is birthed. I don't know that Paul
09:13 -  thought that it was going to have such lasting validity or significance. He was only answering immediate questions being put to him. We need to understand that the gist or the matrix of apostolic glory is not some lofty, ethereal kind of thing, but out of the daily practical work
09:37 -  needs of a church, putting questions to the man who is its guide and mentor and in answering practically, he gives us theological statements of infinite human power. So just the wellspring of ultimate statement is the auspices of immediate and practical meeting.
10:03 -  You can quote me. Did you hear that one? What a statement. And if that's not just the nexus of the book of Romans, it is the auspices of all that goes forth and forth. So we must have some idealistic and romantic notion of what is the matrix that gives rise to the holy things. It's out of the
10:26 -  earthly, daily, practical workaday requirement of the church that God issues these remarkable things. We mustn't divide. We mustn't be gnostics of our age. Gnosticism is that penchant, the propensity for lofty, ethereal thought and the disdain and contempt for what is material and
10:53 -  natural. They even reject the thought of their own bodies. They only want that secret knowledge, something ethereal. So we need to be reminded that the very nexus of apostolicity is bound to the earth, practical, nitty-gritty issues that arise in the church, walking and finding its way in God.
11:16 -  Which, by the way, is exactly how Paul himself was apprehended while he was walking, en route to Damascus. In his era, God had greater respect for a man in error who was earnest than those who purport to know truth and are complacent. Okay, so what is the practical thing?
11:37 -  Paul, isn't God finished with the Jew? Aren't we now the Israel of God? Didn't they stone the prophets that were sent after them? And haven't they so recently crucified their own Messiah? Doesn't that indicate that they are finished and that we are the new Israel of God and God has no
11:55 -  further purpose for the Jew? That's the question put to him by the church at Rome. And Paul's answer is, God forbid you should think that. So verse one of chapter one, I say then, has God cast away his people? That's the question, has he cast away? Because to this day, there are important segments
12:24 -  of the church that believe that God has cast them away. It gives every appearance, by every human reckoning, they should be cast away. But Paul's injunction at the depth of the cry of his heart, they say that English doesn't begin to touch this. You have to hear this in Greek.
12:44 -  But Paul says, God forbid, don't ever entertain such a thought. It is so antithetical to God. It is contrary to God's whole divine intention. If you should subscribe to some human, he's finished with them. Is that the kind of God he is? He puts on and he takes off like us? Divorce and remarriage?
13:06 -  They didn't come through? They missed the program? Tough on them. He'll now turn into something? No. Those whom he has chosen, whom he has loved, he will not forsake. Isn't that an encouragement for us? So if you do not see God in his faithfulness toward Israel, though they deserve rejection,
13:29 -  that's the point. What an encouragement for us, as we will often also deserve to be set aside. But God forbid. And then, so what's his evidence? Because I myself love him in his life. I'm not cast aside. God still has a remnant. The fact that I can be saved who was a murderer against the church
