TV Show 12 Joseph and Revelation

00:00 -  Ben Israel with Art Katz and Paul Gordon. Shalom. Welcome again to Ben Israel.
00:10 -  My name is Art Katz. And I'm Paul Gordon. You know, this morning we had the opportunity of speaking to a very fine Jewish man who
00:19 -  is a leader in the Jewish community, and of course he looks upon Art and myself as being out of the mainstream of Judaism. In fact, he believes that our position that Jesus is Messiah is untenable in traditional
00:35 -  Jewish belief. And we were discussing this morning a number of topics with him, and we got on the subject of revelation, remember?
00:44 -  And this presented some very lively discussion because he didn't believe that revelation, the supernatural transaction of God imparting information to his people subjectively was a possibility today.
01:00 -  How would you answer that, Art? That's a tremendous question. You've heard me speak about this before, but I have a view of things which, to simplify
01:11 -  matters, sees the spiritual issue as divided between the choice of two Judaisms, the Judaisms of men and the Judaism of God. And the Judaisms of men have many things in common.
01:22 -  They may employ religious vocabulary, they may quote from the Scriptures, but essentially they're nominal faiths, or faith essentially in name rather than in practice. There's no real cleaving or dependency upon God, there's no radical knowledge of Him in
01:36 -  a life-transforming way. They're really ceremonial things and cultural things, and as in the case of our own Judaism, hallowed with age, rich with tradition, beautiful in its Hebrew liturgy and all that, but there
01:50 -  are very fundamental differences between those Judaisms and the Judaism of God. And one of the most fundamental and indeed key differences is the question by which we perceive even the knowledge and the reality and come to an understanding of God, let alone
02:06 -  that we should be able to walk with Him. And the question this morning raised two alternatives. One which our very cordial host expressed was that by Talmudic study, by the exercise
02:19 -  of human intellect, does one come to the knowledge of God. Our own point of view in opposition to that is the knowledge of God by revelation. This is supernatural, which is another thing which differentiates the Messianic biblical
02:36 -  Judaism with which we believe with the Judaisms which other men observe. And that is the belief in a supernatural God, a God of power who can reveal to the hearts of men by His Spirit an understanding which transcends and goes beyond mere mind alone.
02:55 -  And we don't want to suggest by that that God has called us to be numbskulls or non-compassmentists or to be devoid of intellect or celebration. Quite the contrary.
03:06 -  There's a role and a very significant place for the active human mind, but it does not establish the contact or the initial relationship with God which is done by the Spirit. It does not obtain that knowledge of God by which the relationship is undertaken.
03:24 -  And I think that Paul speaks so beautifully on this point in the book of 1 Corinthians in the second chapter, and I'm so grateful to God that it's Paul who speaks of it above other men, because I don't believe that there was an intellectual of greater renown or acuity
03:40 -  of mind than Paul himself. In the Jewish community. Yes.
03:44 -  Right. I've come deeply out of that tradition that celebrates human intellect and scholarship and was the prized student of the Rabbi Gamaliel, but when God revealed Himself supernaturally
03:56 -  on the road to Damascus, when He was smitten, when in a blinding flash of light a voice spoke out to Him powerfully, Saul, Saul, why for a persecutor sound me? And so I can imagine, who is this who speaks?
04:09 -  Stunned. He had never had such experience as this. This is Jesus of Nazareth.
04:14 -  You know, before you read there, something just came to mind. This is no wild-eyed fanatic, this Paul of Tarsus. This was a very intellectual, scholarly, respected man, wasn't he?
04:30 -  I've heard him described as a wild-eyed fanatic who is running around trying to steal Jews from their particular belief and enter him into something alien. He's not that at all.
04:42 -  Nazareth is really rich, Paul, because it's the same man who has given us at least half the New Testament, which is really the basic body of document that we do study to show ourselves approved of God, workmen needing not to be ashamed.
04:55 -  And yet he is the one who has spoken most exactingly about the role of revelation. And look at the way the second chapter begins. And I, brethren, when I came to you, came not with excellency of speech or of wisdom
05:10 -  declaring unto you the testimony of God. And who is more equipped to come in such a way than Paul himself? For I determined not to know anything among you except Yeshua HaMashiach, Jesus Christ,
05:23 -  and Him crucified. And I want to emphasize the words, I determined not to know. Act of will.
05:29 -  Because it really is an act of will. And I have to admit myself as a Jewish man and one who loves the ruminations of mind and the exercise, the scintillating power of exercising one's own mind, that I have
05:41 -  to myself determine often to shut this cotton-picking thing off. And I just want to ask our viewers today, have you experienced the difficulty that we've experienced, especially in the early years as a believer, where time against time my
05:54 -  mind has been an obstacle in my knowledge of God. It has opposed the revelations of God. And I've brought to the Scriptures the academic habits of interpretation, which were many
06:05 -  years in the shaping, and it got me nowhere. Oh, I spun many lofty esoteric things, but my spiritual life advanced to nothing. But the day came when I resolved just to take God as His Word and see what would happen
06:18 -  and do it. And from that point on I began to grow in God. I think that there's something required of us if we're to enjoy the revelations of God
06:25 -  by His Spirit, and that is to determine not to know, not to allow the intrusion of our mind to usurp and to seek to give understanding where only God can give it by His Spirit. And I was with you in weakness and in fear and much trembling, that your faith in the
06:44 -  fifth verse should not stand in the wisdom of men but in the power of God. That's a potent statement. Tremendous.
06:51 -  Because if we try to reveal God to men by the exercise of intellect, it's not going to stand. Right.
06:58 -  The question which comes by the power of God alone can stand every onslaught that shall come against it. However, we speak wisdom among them that are perfect, yet not the wisdom of this world
07:08 -  nor the princesses of this world that comes to nothing. But we speak the wisdom of God in a mystery, even the hidden wisdom which was ordained by God before the world unto our glory, the hidden wisdom of God, which none of the princesses
07:26 -  of the world know, and I tell you people, which none of the princesses of this world now know either. None of those who exalt intellect and who receive the honors and plaudits of the world
07:34 -  and who have established these things above the things which are of God have yet to understand His mysteries. For many, this is yet a closed book, an enigma and a paradox, which none of the princesses
07:47 -  of this world knew, for had they known it, they would not have crucified the Lord of glory. But as it is written, I hath not seen nor ear heard, neither have entered into the heart
07:56 -  of man the things which God hath prepared for them that love Him. But God hath revealed them unto us by His Spirit. For the Spirit searches all things, yea, the deep things of God.
08:11 -  But God hath revealed. People, our Judaism is a Judaism which has a complete and total trust in a God who is made unto us wisdom, knowledge, sanctification, redemption, power.
08:27 -  The Scripture says that of Jesus, that in Him was all the fullness of the Godhead bodily, that we are complete in Him, and that He's made also unto us the revelation of the knowledge of God.
