TV Show 3 Abraham

00:00 -  Ben Israel with Art Katz and Paul Gordon. Welcome to Ben Israel. I'm Art Katz.
00:10 -  And I'm Paul Gordon. I'm glad to have you with us today as we discuss and speak of the things which have been made dear to our own hearts and lives.
00:21 -  And I don't know how we can introduce ourselves, there's a saying, what's in a name. We're Messianic Jews. We're Jewish believers in the God of Abraham, Isaac, and Jacob, and the Messiah of Israel,
00:32 -  Jesus Christ, Yeshua Hamashiach. Our lives have been revolutionized, transformed by the power and the presence of God which came with that knowledge.
00:44 -  And week by week we're seeking to express the new quality of life which has been invested in us by our God. One of the things that Jewish believers do that we had not done previously is to praise
00:58 -  God with all our hearts, to worship Him, to love Him, to serve Him, to speak of Him, to witness of Him, and to pray to Him. We hope that you'll think it not strange if we take a moment now, Paul and I, to turn
01:12 -  to the God of all this world, ask His blessing upon our time together with you. Because frankly people, we confess that except that God bless, except that His hand be upon us, except that we enjoy the presence of His Spirit, except that He lead us, there's not
01:28 -  much that's profitable. We desperately need the blessing of God upon our lives, upon our marriages, in our communities, our professions, our relationships.
01:38 -  This is what it's all about. And if you're hungry for such blessing, we just ask you to open your heart. And we're going to invite His presence right into your living room and upon your life.
01:50 -  So precious God, we just call upon you in that one name, which is given above every name under heaven and in earth, whereby a man may be saved. We thank you for that name, Lord God, for the person of the Messiah, Yeshua, Jesus.
02:07 -  And we ask, Lord, that you bless our conversation, that you lead us by your wonderful Spirit, that you make this a rich and deep and meaningful experience for those who watch. Lord, we just ask the blessing of the living God upon every home and family and life that's
02:22 -  looking in right now. Speak to them in ways, Lord God, by your Spirit that pleases you. We thank you that you hear us now and that you answer.
02:32 -  For we call upon you according to your name and your will. Thank you, precious God. Thank you.
02:38 -  In Jesus' name, Amen. Father Paul? Yes.
02:43 -  How are you doing? Fine. What's on your mind and heart?
02:46 -  Well, you know, I was thinking, we were talking before about when you called upon the name of the Lord, when you heard that still small voice in Jerusalem. And you know, when you were telling us about that, it reminded me of the situation that
03:01 -  happened to a man by the name of Abram many, many years ago. And I went back during this week and I was looking through the 12th chapter of the book of Genesis.
03:12 -  There's an interesting and a vital account of Abram, and I think it's very similar to what you experience yourself in Jerusalem. Same type of a call.
03:22 -  Why don't we take a look at that? This is the 12th chapter of the book of Genesis, and this is the first verse. I'll start there.
03:35 -  Now the Lord had said unto Abram, Get thee out of thy country, and from thy kindred, and from thy father's house, into a land that I will show thee. And I will make of thee a great nation, and I will bless thee, and make thy name great,
03:53 -  and thou shalt be a blessing. I will bless them that bless thee, and curse them that curseth thee. And in thee shall all families of the earth be blessed.
04:04 -  There's that word again, blessed. Right. You know, that so many people think that blessing has got necessarily to do with feelings, that
04:12 -  it's some kind of sweet or saccharine thing, but the blessing of God is something more than feeling. Yeah.
04:19 -  It's the whole enhancement of life by the life of God itself, without which our human life is a rather drab thing. I like that Jewish spirit which Jacob expressed when he had his opportunity with God.
04:31 -  I will not let you go, except that you bless me. I believe God enjoys that spirit in men, that deeply and earnestly seeks the blessing of God.
04:40 -  But I think that in the scriptures you read, Paul, it shows that the blessing of God is conditional upon something that's required from us. There's a pattern here.
04:51 -  The thing that's required from us is obedience in response to the voice of God, which speaks and calls us out of one situation to follow Him. It's rather a fearful call, and I can really understand how men could shrink from it.
05:09 -  And you know when you read the fourth verse, so Abram departed as the Lord had spoken unto him, and Lot went with him, and Abram was seventy and five years old when he departed out of Huron.
05:17 -  How many times have I read that and thought, my, my, my, what a man is Abram. Oh, to be a Jew like that, to hear the call of God, and immediately to be obedient and to respond and to come out.
05:29 -  Wasn't that your impression? Yeah, he didn't respond though right away, did he? What do you mean by that?
05:33 -  Well, you know, I thought the same thing until I went back into chapter 11, and I was looking at verse 31. And it seems that when you read this that Abram must have had that call before, because
05:48 -  it says in Terah, who was Abram's father, took Abram, his son, and Lot the son of Huron, his son's son, and Sarah, his daughter-in-law, his son Abram's wife, and they went forth with them from Ur of the Chaldees to go into the land of Canaan, and they came unto Huron
06:05 -  and they dwelt there. The first call to Abram was to get the out of country, kindred, and father's house, a complete separation from all that was familiar to him, and yet we see in chapter 11 that
06:20 -  he packed his father, his family, probably all his servants, the cattle, and everything that he had in one big package, and he attempted to, in fact, he didn't even take them. It says here that Terah actually took him.
06:33 -  So he was a little slow by responding, wasn't he? I think we ought to be sympathetic, and what can we say, compassionate, because he is flesh and blood, like as we.
06:44 -  It's really a wrenching call to come out of nation, kindred, and father's house, and we just invite our viewers to begin to contemplate what that would mean, all of the familiar values, the things that are dear, especially when it says nation, kindred, and father's
07:01 -  We Jews with Amish spooker and our grandparents and those who have chocked us under the chin and had us on their knees, to leave these things is really a very serious wrench, and to follow a God into an unfamiliar place, into a land that I will show you, and to pass
07:19 -  through a wilderness before we enter into a land of promise, is not a call that men would willingly hear. Now I want to just try this out on you, Paul.
07:27 -  How do you know that you're hearing the voice of God? Maybe this is indigestion, or it's a voice of God's adversary trying to trick and take you away from the things which are familiar and dear.
07:40 -  How do you think that Abraham knew that this was God's voice, and how can we ourselves know it? Hmm, that's a good question.
07:49 -  Probably because his heart was disposed towards God. I'm just guessing that Abraham was a man who was right before God, a man who was looking for God, a man whose heart was so disposed that when God spoke, he just intuitively knew.
08:05 -  I guess that's the only way I can answer. I think that's a good answer, because Jesus said, my sheep will hear my voice, and we know that his Jewish contemporaries reacted to him in different ways.
08:18 -  There were those who heard and believed immediately. There were those who saw the remarkable miracles which attended his life in mystery, and yet would not believe.
08:27 -  Of course, I was faced with something of the same predicament, as you know, when in that bookstore in Jerusalem eight years ago, I myself heard a still small voice. We know that the phrase, still small voice, is the Scripture's own description of God's
08:41 -  voice. Even as we're speaking, we trust, dear viewers, that you're beginning to get a sense of what it is that we're about.
08:49 -  What does it mean, Jews who believe? Well, it's evident, first of all, that we're Jews who believe that this indeed is the Word of God's Word.
08:56 -  That this is not a mere literary flourishing or product of culture, but a divinely inspired word transcribed through men, and yet an accurate record, but charged with the deepest meaning. There was a very literal call to Abram by a still small voice, and I can see the kind
09:13 -  of perplexity to which Abram was likely brought, as he had to consider the costs of obedience. You know, it doesn't tell us in the New Testament what kind of thoughts went through the heads of people like Matthew and people like Peter, the fishermen, when Jesus said, follow me.
09:32 -  They dropped everything, and without even thinking, a second thought just followed him. I've often thought of that. Things have to call.
09:38 -  Jesus is speaking to Matthew at the tax collector's table, follow me, and immediately he followed him. Or leave your nets and your boats in your father's houses and follow me.
09:49 -  Would almost suggest that the same one who spoke then is the same God who spoke early to Abraham, the same God who spoke to me eight years ago, and the same God who speaks now, even through the voices and personalities of other men, to a people who must hear that
10:05 -  call to come out from nation-kindred and father's house and follow him. And I really believe, Paul, that this is the definitive call of God to every man, Jew and Gentile, in every generation, and except that we've heard it and obeyed it, we've not really
10:23 -  experienced the call of God, nor have we experienced the reality of God in our lives. And you're right that Abraham procrastinated. He delayed.
10:34 -  Instead of leaving his father's house, he allowed his father to take him, and we read that it wasn't until the, when the days of terror were 205 years and terror died in Huron in the last verse, the 11th chapter, that then, upon his father's death, Abram finally
10:48 -  was able to bring himself to be obedient to the original call. And then we read that verse again in a new light. Now the Lord had said unto Abram, get thee out of thy country from thy kindred and father
11:00 -  from thy father's house, had said, and I wonder how many of us, how many people are listening today to whom God had said, get out, come, follow me, leave your boats and your nets and your father's houses, leave the things which are familiar and dear to you, but which
11:20 -  are obstacles and deterrents to a wholehearted obedience to my call, whether it's culture, whether it's tradition, whatever it is, there's a call of God that goes forth to bring men out that he might bring them in.
11:37 -  Abraham rightly delayed, and you know, Paul, when I searched those scriptures, I wondered where Huron was, where Abram delayed, and I looked all over the promised land for Huron, and I could not find it.
11:48 -  I thought that I had faulty maps. And one day inadvertently my eye fell upon Huron, and of all places, guess where it is? It was in Mesopotamia, right along the same Euphrates River, where Ur of the Chaldees
12:01 -  was located. Don't we have a saying that you can take the boy out of the country, but you can't take the country out of the boy?
12:10 -  Abraham came out of Ur of the Chaldees, but Ur of the Chaldees was still in him. But there's a very real coming out, and until we're obedient, we're not going to experience the blessing of God.
12:22 -  He made sure that if he ran into any problems, he could always jump on a little raft or something that he built and float right back down to Ur, didn't he? I think that's it, that there's always a kind of a security to know that you can go back
12:33 -  to your place of origin. You know, that brings us to a most significant verse, and I think one of the most beautiful verses in all the Scripture.
12:42 -  After Abram was finally obedient, we read, And the LORD appeared unto Abram, and said, Unto thy seed will I give this land. And there buildeth he an altar unto the LORD, who appeared unto him.
12:56 -  I know that this would arouse some controversy about the literal meaning of the word appear. I don't want to be sidetracked by whether God literally and visually appeared to Abram, but I think this much is clear, that there was a manifestation of the actuality, of the
13:12 -  presence of a living God to the life of a man called Abram, that was a decisive factor in enabling him to build an altar and come finally to a place of worship. Oh, absolutely.
13:26 -  And you know, I don't believe that Abram began to be Jewish until he was obedient, until he came out, until God appeared to him, and there he built an altar and worshiped him. What is it that the word Jew actually derives from, Paul, do you know?
13:41 -  Well, the word Jew comes from the word Judah, and Judah, of course, one of the twelve tribes of Israel, means praise. So in effect, a Jew is one who praises God.
13:54 -  I think our point is this, that real praise, I don't mean feigned praise, or affected praise, or the mechanics of worship, or doing our dutiful bit. I mean that genuine praise that whelms up, flowing out of a heart that really knows God,
14:09 -  that has experienced his grace in his presence, that praise is impossible until it's evoked out of the life of one to whom God has appeared. And you know that there are countless tens of thousands of Gentiles who call themselves
14:23 -  Christians, and in all sincerity, believing it, or call themselves by denominational names Baptist Presbyterian Methodists, who have yet to express and to give voice to an authentic praise, because God has yet to appear to them, because they have not yet been obedient
14:40 -  to come out. Do you think sometimes it might be that God hasn't made his appearance yet because they haven't stopped long enough to listen to what he's saying?
14:49 -  I think that's it. Maybe they've not understood that this is more than a little historic episode that's being recorded.
14:54 -  It's a pattern, it's God's way, the hearing of a call, and it coming out. But you know, I think we might be perplexing some of our viewers, and they'll say, are you asking that I should leave the United States of America, or break up from my family,
15:08 -  or leave my familiar denomination? What do you mean, come out? Is that a literal physical separation?
15:17 -  How would you answer that? Well, didn't Jesus say that we are to be, or Paul, not Jesus, Paul said that we are to be in the world but not of it?
15:27 -  In other words, that when we come out, we come out of all those things that we hold dear, we come out of all the things that make the world go round for us, that without them we feel we've failed, or the world is dissatisfying, and we cleave to God.
15:44 -  We're still in the world, we may be still within our familiar surroundings, but we're not, we're not of it, we're not part of the system, we're God's people. I think there is a kind of separation which God is speaking that doesn't necessarily
15:59 -  imply a physical separation, we're in the world but we're not of it. And yet I think as our viewers can see that you and I are not ascetics, we're ordinary Jewish men, and yet there has been a separation, a process of withdrawal, a coming out from
16:13 -  the spirit and the entanglements of this world, and as you've said, a cleaving to God, which is more than just a Shabbos or Shabbat or Saturday or Sunday experience, it's a whole giving over of one's life to God, giving him the sovereignty, the Lordship, it's beginning
