The Eternal Gospel

00:00 -  I must be losing my Jewish distinctive. Oh my. Well,
00:14 -  thank you for coming. You're going to be my guinea pigs. I'm going to try out something on you
00:22 -  that the Lord gave me this morning after reading the brochure from the ministry here about preaching the Gospel.
00:32 -  So I want to make some remarks about the Gospel and its proclamation. Because I don't know if you have noticed,
00:48 -  it is sadly in decline. It has become a nomenclature for salvation. Step one, step two, step three,
01:00 -  a decision of a dubious kind. It doesn't have the apostolic ring, not as compelling,
01:11 -  nor is it attended by controversy. Have you noticed? It's become rather bland.
01:18 -  In fact, you even wonder what the word Gospel means. And I trust that these are the thoughts of the Lord and not the fact that I'm Jewish in myself.
01:34 -  But I feel that the loss has somehow to do with the absence from our consideration of the centrality of the Jew.
01:50 -  That this Gospel is the power of God at the salvation to the Jew first and also to the Greek. And somehow, if we have lost that central focus,
02:02 -  it has become diffused and something else and something less than God's intention, even for the Greek.
02:11 -  Very important to obey the priorities of God. When he says first, he means first. He must have reasons for that.
02:20 -  There are many reasons. Judgment is first for the Jew as well as blessing. Because we're privileged people.
02:28 -  And we were called to covenant and we enjoyed a relationship with him and we were select and appointed.
02:39 -  And we suffered double curses for our disobedience. You have suffered double for your sins, it says in Isaiah chapter 40, verse one or two.
02:53 -  There's a penalty for us that is greater than others. And maybe for that reason, the Gospel has got to come to us first.
03:00 -  But I think there are other reasons as well. Paul says in Romans 11 that we are the enemies of the Gospel for your sake.
03:09 -  Now I know you have not had ever an occasion to observe that. You need to be a missionary to the Jews to know how vitriolic and vehement and bitter
03:22 -  is the opposition to the Gospel on the part of most Jews. And until we have observed that in our experience, we lose the sense of how radical a message the Gospel is.
03:39 -  We will be brought to an awareness of just what kind of message we're called to bear when we see how vehement, avid, bitter
03:50 -  is the opposition to it on the part of Jews. Why is that instructive more so than any? Because salvation is of the Jews.
04:02 -  So for Jews to oppose the message of salvation with a degree of vehemence and bitterness more so than others and even to be the inventors of Gospel alternatives,
04:15 -  like, can you name a few? Marxism, Karl Marx, the Jewish, what would you call them, ideologue,
04:28 -  or Freudianism, also a Jewish invention, and many other devices and radical alternatives and schemes and maybe Zionism itself, socialism,
04:41 -  all of the isms in which we Jews have been prominent are alternative schemes of salvation contrary to God's. You following me?
04:53 -  Testing, cats to control, power over. Lord, break through the haze and pierce our souls asunder.
05:13 -  Bring my God your perspective to bear and rescue us from the kind of bland, wishy-washy, nondescript Christianity
05:30 -  that has not moved Jews to jealousy and even questionably if it has affected Greeks. And give it to us, my God, afresh
05:45 -  in the sense in which it needs again to be communicated in the last days, knowing that if we would take it up in that way,
05:53 -  we can expect the same kind of backlash, violent opposition, rejection, persecution that was the experience of the Church at the first.
06:06 -  Somehow the Gospel doesn't mean today or invoke today what it did then. We feel that we are amiss.
06:15 -  It was right at the beginning, but something is amiss now. So Lord, let these first exploratory remarks begin to probe and open our understanding and our concern.
06:29 -  Thank you for this format tonight. That this should be your heart and burden here. And let whatever I'm sharing, is it being recorded?
06:38 -  Have a circulation beyond this immediate band of souls where it will do the most good. And we thank and give you praise in Jesus' name. Amen.
