The Holocaust as Judgment  1

00:00 -  No man is fit to open the issues of the Holocaust. It's too holy, too sacred, too monumental, too unthinkable and too unspeakable. And yet the paradox is that if we forestall or withhold an examination,
00:18 -  we seriously devastate ourselves and almost assure the reoccurrence or the enactment of the next. So it's a terrible tension. It's too holy to touch and yet the indifference and the ignorance of it will make us victim of the next judgments need to be examined.
00:38 -  However painful and the great and classic prototype that eventuated in the call of Moses and his apostolic sending, if I can say that, was his willingness to turn aside to see. A bush that burned and was not consumed.
00:59 -  And I'm taking the liberty to say that that represents and is symbolic of the judgments of God that are not yet requited, not yet answered, not yet met, not yet understood. Still pending. God is yet wanting something.
01:16 -  And you can't sweep these things under the carpet. They surface. However long they are deferred, there'll be an eventual day of reckoning. And the final day of reckoning is irremediable.
01:30 -  The day of the Lord and the day of the judgment of God. And after that, there's no court of appeal. There's a finality that is absolutely chilling.
01:40 -  And you know what the amazing thing is? That not only is the world totally indifferent to that fate, to that possibility, but the church itself is asleep with regard to it.
01:52 -  We have lost probably one of the most divinely intended things that would have brought an iron into the soul of the church and a seriousness into the quality of the church
02:06 -  and an intensity to its faith and to its mission. Namely, the issue of judgment and the last judgment. If you miss contemporary judgments, you're not going to have an understanding of the last.
02:22 -  Judgments are continuous and related. But you can understand why it is that even the church itself shrinks from the contemplation of judgment. It's painful.
02:37 -  And yet God is a judge. And judgment is one of his attributes, as is also love, patience, mercy, kindness, righteousness. In fact, God would not be righteous were it not for his judgments.
02:52 -  And when his judgments are in the earth, as the scripture says, the world will learn righteousness. So you cannot exempt judgment from God or you dissolve God as God.
03:04 -  You have a God of another kind, of your own making, who's a patsy. And you can call him Jesus till you're blue in the face. But there'll not be any answer from heaven.
03:13 -  It's simply not God as God if you remove this component from his being. So mercy does not mean anything independent of judgment. And God is a seamless garment, like the robe of Jesus that could not be parted.
03:30 -  It had only to be gambled for. You cannot divide the Lord. He's indivisible. And his judgment is an integral, contiguous aspect of his total being.
03:42 -  And the church that loves him and serves him needs to submit to the totality of God as God. And it's not taking Castor Well because God's judgments are not punitive. It's not a God exercising his power as if to pull wings from flies.
04:01 -  It's a God whose judgments are always proportionate to the sins of those who are being judged. It's never, what's the word, arbitrary. It's always in perfect, divine accord with what is being judged.
04:19 -  And if he had refrained from exercising his judgments, you can imagine what the condition of the world would be in his creation. It's abysmal.
04:32 -  And we can see what's happening in our court system. It's loathe to judge. They cannot bring themselves to bring judgment. And probably the primary reason is that those who judge are themselves taking liberties
04:46 -  and living immorally and wanting to force full judgment for themselves and therefore cannot bring it against others. And so the whole fabric of society suffers for the want of righteous judgment.
05:01 -  So let's pray that the Lord will give us a sober, miyan, M-I-E-N, I've not used that word in a hundred years, disposition to consider a subject that has real life-changing possibilities.
05:19 -  Lord, we thank you, precious God. We thank you when we ask your forgiveness at the same time, because we have shared in the shallowness of the Church.
05:29 -  We've not had a stomach for this, and even for the consideration of judgments as it pertains to ourselves. We have always read the things that befall us in another way.
05:40 -  We have attributed it, like the world, to accident, to men, to circumstance. We rarely understand or choose to see it as the hand of God. So Lord, we ask an adjustment of our seeing and our thinking,
05:56 -  because it befalls us, as your last days prophetic people, to speak the Word of God in judgment, and to warn men of judgment before the very end comes.
06:10 -  And may you have, my God, a yielded prophetic people who will not balk. So we bless you, Lord, and we just ask you to take over, communicate what you will, and give us an understanding in a life-changing way, as only you can by your Spirit.
06:29 -  And we just thank you for the privilege of it, for the assembly of souls, my God, whom you've brought from near and from far, some as complete surprises, but not a surprise to you. Bless us all together, Lord, and put something memorable into our spirit,
