The Kingdom of God

00:00 -  Guten Abend, Kinder. Good to be back with you. I always have a very nice reception here.
00:16 -  Better than I deserve. And kinder than in other places. So, this must be the Lord.
00:30 -  I thought that I had already given you everything that I have. What could I add this time? Although it wouldn't hurt to repeat speakings of the past.
00:52 -  Because I don't think you understood it. Or fully received it. So the repetition wouldn't hurt.
01:03 -  But something is growing in my spirit. And when you hear the theme you'll say, nothing special about that.
01:19 -  We already know that. We're already familiar with that. This is no new thing.
01:28 -  And it's a new thing that we want. A novel thing. So let me begin with a question.
01:40 -  What is the key to the kingdom? What one thing would you finger or identify as being critical to the understanding of the entire faith? That if that one thing is omitted, nothing is rightly in its place.
02:19 -  Would you suggest what that one thing is? Oh, I'm sure you're thinking Israel. Art is fishing for Israel.
02:35 -  That's his special interest. And I have to say it now. Well, then it must be the church.
02:46 -  And you're getting warm. But that's not yet it. The key to the kingdom of God is the kingdom of God itself.
03:04 -  Rightly understood. Rightly recognized. Now have you been in the faith long enough to realize certain tendencies?
03:23 -  One is the tendency in the church to reduce to a cliché the most significant things of God. Simply by saying it so frequently. The kingdom of God, the kingdom of God.
03:54 -  Well bless you brother, bless you brother. Do you want to ruin holy words? Speak them frequently.
04:08 -  And mindlessly. And you will in time rob them of their entire content. You know what part of the prophetic task is?
04:24 -  Is to be jealous over the words of God. To contend for their meaning. For example, prophet.
04:42 -  I'm so weary of hearing the word. It's on everyone's lips. Everyone's a prophet today.
04:54 -  And prophet this and prophet that and prophetic conferences. We are in danger of losing one of the most significant words of God. So if we're going to be a prophetic church.
05:15 -  We need to be jealous over these words. And not allow them to come into some kind of familiar, ordinary, cheap or convenient usage. In fact I'll even go further.
05:39 -  We ought to be jealous about words themselves. Even the volume of words. I've not recovered from the Berlin conference.
05:54 -  For the volume of words that were spoken. How the speakers took their liberty. Nothing to inundate us for an hour and a half or more.
06:13 -  With such a volume of words. Without any sense of economy. You want to be a Godly people?
06:28 -  A priestly people? Which is your call? Fewer words.
06:36 -  But more rightly spoken. More sensitively chosen. I'm especially conscious of this.
06:51 -  Because the prophetic integrity. And the quality of prophetic speaking. Can be defused by just ordinary conversation.
07:17 -  You would think this man must be wonderful company. Or to drive him to the service. Or pick him up at the airport.
