The Making of an Apostle

00:00 -  Are we on here? So Lord, we bless you Thanking you for the day that you have made
00:08 -  That you're a God of purpose and intent Nothing aimless my God, but all Divinely calculated works to walk and before the foundation of the earth were laid
00:21 -  And we ask my God That work that fulfillment this morning and today To whom much is given much is required Lord, we know that and yet we're asking that much be given
00:35 -  So come my God and surprise us and Give us more than we could have imagined And let it be a vital impartation Lord to the life of this people to this work
00:50 -  To have enduring consequence something Foundational so we bless you Lord come my God by your spirit revive us Send the word into our midst the living word and receive now already our gratitude
01:07 -  For such blessing and such privilege Thank you Lord be the alpha and the omega of this day and this time you began it last night and continue my God with the
01:19 -  And continue my God with the Conclusion that you have in mind as the God alone who knows the end from the beginning We thank you Lord. We're privileged in Jesus name
01:35 -  Well, you can turn to the book of Galatians chapter 1 Ah Ah
02:21 -  So this will be a first for me, I don't know that I've ever Shared from this book or this portion of that's something that was quickened in my early morning time
02:34 -  And we know that The substance of Galatians is Paul's jealousy over the purity of the faith that has been threatened by Judy Isis and those who have sought to
02:48 -  Require of Gentile converts Certain acknowledgments like circumcision that would Controvert the gospel and rob it of this grace
03:02 -  So that's the general setting and that's why I think Paul takes pains To establish his own qualification as an apostle
03:11 -  We're going to be listening to that all through The book of Galatians chapter 1 Let's let's read from chapter 1
03:35 -  Paul an apostle Not of men neither by men but by Jesus Christ and God the Father who raised him from the dead So as we read when we're not only reading a statement of Paul
03:51 -  Appropriate to the Galatians, but read this also as a pattern and as a paradigm Paul is not conscious of What he is setting forth in his word that would be applicable for all generations. He's thinking only of instructing Galatians
04:08 -  But every word that issues from him Is a pattern paradigm of Galatians Of what pertains to that which is apostolic so right from the first crack
04:20 -  Paul an apostle not of men neither by man But by Jesus Christ and God the Father He's concerned to show
04:30 -  That his credentials are in God alone because he has rivals who also purport to be apostles and who are making a grand show of it and So the issue of recognizing who in fact a true apostle is is not just an issue of ego or vanity
04:49 -  But the issue of preserving the integrity of the faith And so Paul is going to show that what he is and what he expresses is from God and not from man And if that's required for the apostle, it's equally required for us
05:08 -  For us And to the degree that we have condescended to men We weaken or threaten or contradict
05:17 -  That which is apostolic in its character as coming from God and by God that it might also be for God Which is really in some kind of opposition with the tenor
05:30 -  T-e-n-o-r of our charismatic age which I think is exceedingly man-centered And approval centered and crowd centered And has not this exclusive and jealous and sole insistence upon God
05:50 -  So we're going to find this reality again. We'll have to find it as Paul sets it forth and this is what makes Paul Paul this Single-minded singular jealousy for that which comes from God and is for God and is not in any way tainted or corrupted by man
06:19 -  So But through Jesus Christ and God the father who raised him from the dead And all the members of God's family who are with me
06:28 -  Even here in a kind of an unconscious way Paul can't help but throwing in a reference to the resurrection Seeing that that phenomenal
06:38 -  Miracle is foundational to the whole reality of the faith and of the church He's not self-consciously employing it. It seeps out of him This is out of the genuineness
06:50 -  Of his apostolic character that he cannot help but even inadvertently in passing making resurrection to the resin Making reference to the resurrection of which he is so much himself the expression if Paul is anything He's the man of the resurrection
07:07 -  So to the churches of galatia grace to you peace from God our father the lord Jesus Christ Who gave himself for our sins to set us free from this the present evil age? according to the will of God
07:19 -  And father who to whom be the glory forever and ever amen. I don't even know if we're ever going to get out of these first Introductory statements because already just in this introduction and in this greeting Paul has set forth the gospel Having mentioned resurrection
07:39 -  And now the crucifixion Caved himself for our sins To set us free from this present evil age. Here's a real glimpse into the apostolic mindset
07:49 -  our thought that The gospel and the atonement has set us free from sin we can find an eternal place in heaven but the early church saw
08:02 -  What God has done more in the context of the conflict between the powers of the air that rage For the souls of men and vie for dominion over God's own creation So to be freed from
08:16 -  Through the gospel is to be freed from the clutches of that kingdom of darkness that pervades all the world And set us free from this present evil age Now if you're really a bible student and you ought to be
08:31 -  It means that you don't over every word that proceeds from the mouth of God So when Paul uses a phrase like the present evil age he's making a statement of uttermost significance
08:47 -  What's the what's the significance of the word present? What does he have to say present evil age isn't that unnecessary isn't redundant isn't it obvious that the evil age is this this When he uses the word present it already implies that it's transient that it will one day pass
09:08 -  that the Apocalyptic act has already taken place that has set in motion through the crucifixion of Jesus Those trained events that will bring in a kingdom opposite to the darkness of this present age
09:24 -  present implies transient Temporary passing There's another age and it will be enduring rather than transient and it will be glorious rather than and righteous rather than evil
09:38 -  So you see all that's implied In Paul is something like squeeze him
09:45 -  Ring him out a bit And something exudes from out of his apostolicity. This is not some self-conscious Minister who's wearing a label. He is the thing in himself
10:00 -  And here we can see it that even in the artless and unpremeditated Introduction and and What do you call it?
10:11 -  Dedication to the to the readers grace be unto you is an entire state statement Of a remarkable kind And this is a picture of what God is wanting for the church
10:24 -  The apostle and the prophet is the foundation of the church God is wanting a church like that That is not self-conscious that is not ministerial minded that even in its
10:35 -  Uh ordinariness and it's every day greetings and salutation. That's the word i'm looking for Something is expressed that cannot help but be expressed Because we are the thing in ourselves as Paul was the thing in himself
10:49 -  We are the reality And we see it in a certain way and we express in a certain way Would you have ever used that phrase now currently to describe scotland or the uk?
11:00 -  Or the world as this present evil age is it really evil for you Or is it really not bad in some of its aspects if not in most of its aspects Are you as detached and as an opposition to this present world and this age as Paul?
11:18 -  Do you see it as sinister and evil? all the more because its evil is Is clouded is is veiled and purports to be good
11:28 -  Benevolent and that makes it yet the more evil because what it is parading in and what is presenting to men is an alternative to God And therefore because of its seductive seeming
11:41 -  Benefit and benevolence it is all the more evil Paul saw right through this present evil age And you can tell just from that phrase he's looking forward to that which will succeed it and that what he's doing in his labors Day in and day out and in this letter to the galatians to help them not to lose the purity of the gospel is toward that end
12:04 -  See, this is a picture of what an apostle is and we need all the more to
12:10 -  Immerse ourselves into it because we know that one of the profound signs of the last days Are men purporting to be apostles and are not false apostles false prophets false teachers false false false false So we need to be reminded and restored to what is original
12:30 -  Given by God Paul an apostle by God and not by man not some phony Produced it's in some institution that uses apostolic vocabulary
12:43 -  Because it brings a certain air but the real thing in himself the foundation
12:50 -  of which The church itself should be established in keeping with that same character and kind Why is that the foundation because we who are the superstructure it ought equally to reflect that foundation and be like it
13:04 -  Whether we are called individually to be apostles or prophets We are all called to the church as a prophetic and apostolic entity A reality that is in opposition to this present evil age and betokens and signifies
13:20 -  And is the statement in itself of that which is to come Got the picture Praise the lord
13:29 -  I'm impressed with what i'm saying Not ever having said anything quite like this before But here I even in the way that i'm speaking and sharing
13:40 -  Something i'm replicating or showing forth that I am the thing in myself This is unrehearsed. I'm speaking of something that was quickened while you were asleep this morning And in making these observations
13:55 -  I can see the operation of the life of God as we can see it in Paul and as the world needs to see it in us and the thing that most prohibits intimidates threatens and Um
14:08 -  Puts puts aside through this reality is our own self-conscious spirituality our own self-conscious ministerial mindedness Which is so much
14:19 -  The the catching the the flavor of this present evil age. It's almost professional Self-consciousness is still self even when it's a spiritual self-consciousness So Paul is an artless. What shall I say?
14:32 -  As I think I am and i'm exhibiting Just expressing what we are by the grace of God And being freed from that kind of self-consciousness that imprisons us
14:43 -  That is stultifying and sends off and gives off a false and artificial note rather than the real and the authentic thing So praise the lord for chapter one verse one, it's a it's a book in itself if we read it rightly And verse four who gave himself for our sins that he might deliver us from this present evil world as we have read
15:09 -  According to the will of God our father to whom be glory forever and ever our madam Now what shall we say about that? You want to know what an apostle is or a prophet of the foundations of the church when you scratch them deeply
15:24 -  What is their essential motive for being? What what is it that is their incentive that drives them and that will that will in the last analysis Invoke their death
15:37 -  Not of old age, but of violence It's because of what is expressed in this one verse that is lost from the consciousness of the church today Namely the glory of God forever and ever
15:50 -  See, we don't even think in terms of forever and ever it sounds to us like a rhetorical flourish like a kind of Stylistic appendage that somehow flows along with scripture. Uh-uh. This is one of the deepest and incisive
16:08 -  Reflections of what is the motivating power of the apostle and the prophet? The jealousy for the glory of God and not just as a final moment But in all moments because forever and ever is not only future it's present
16:27 -  Like for example right now today in the circle Is this to the glory of God? forever
16:35 -  Because if it is Then it's more than just a class And is that sense of the something more that distinguishes the church from everything around it that is in the world
16:46 -  We have an enhanced view Of reality that takes the ordinary the mundane and gives it and imbues it with a certain kind of
16:57 -  respect and appreciation as having to do with the glory of God and not just instruction That our every moment is charged with the prospect of pertaining to the glory of God And if it's for the glory of God now, then it's to the glory of God forever because in the realm that God
17:17 -  Occupies there is no past present and future. He's in the eternal now always And so ought we also to be We need to become in a word forever minded
17:31 -  Eternally minded not as something that we will inherit when we die But as the very mode of our present being And to see everything that the ordinary moment is set in the context of eternity
17:44 -  Imbues that moment with a significance and a charging of it that transforms it So that for the true church There's nothing ordinary
