The Schiavo Case   A Conflict of Life

00:00 -  That God keeps for Himself the prerogative of the revelation of Himself and His Father. No man underlines that, no man, because the whole theme this morning is no man. No man can. God is exclusive, and He guards, jealously, the revelation of Himself.
00:24 -  And He makes it quite plain, quite plain. No man, however religious, however ethical or moral, can earn or obtain a knowledge of Me except that it be revealed. Underlined, revealed. Revealed puts the ball in God's court, because every revelation is from above.
00:47 -  Man cannot procure, he cannot arrest, he cannot appropriate revelation. Is that right? Do you know that for yourself? You can read the Bible, excuse the expression, till you're blue in the face.
01:05 -  And you'll not in any way be rewarded, no matter how diligent you are, except there be a spirit of revelation. And why that spirit is given to some and not to others, and why to some in greater measure and some in less, is another story, another issue that has to do with character, that has to do with the quality of our walk,
01:28 -  that has to do with the earnestness of our inquiry. If we're just reading mechanically and religiously, it'll be without the spirit of revelation. And all you'll have is dry dust.
01:38 -  Revelation is a key, and God holds it, God gives it to whom He will. No man can, no, unless God reveal. So that's the background to this episode that's now going to take place.
01:57 -  And he turned unto his disciples and said, privately, blessed are the eyes which see the things that you see, so I tell you that many prophets and kings have desired to see those things which you see and have not seen them, and to hear those things which you hear and have not heard them.
02:14 -  That's true. So prophets and kings are the highest categories in the realm of human achievement. Kings are the stately title in the world, prophets, exalted in their calling,
02:32 -  but those titles do not of themselves compel or obtain revelation of the things that were given to the disciples, of things that they have both seen and heard, that were given as revelation. And behold, a certain lawyer, here's the Jew on the scene, a Pharisaical legalist,
02:56 -  who's well-informed, very ethical, very moral, and he stood up and tempted him. So just how moral is he? Just how ethical is he, who's raising the question not really to obtain sincere information,
03:13 -  but to embarrass or ridicule or denigrate and bring down the one to whom the question is addressed? I'm teaching you how to read the scriptures, because you would of yourself have passed this over. You would of not understood the word tempted.
03:29 -  And why is that important? Because this is exactly the point. Here's a man who is supreme in his religiosity.
03:38 -  He stands in shoulders above all of us together in this room, in terms of knowledge, understanding, moral uprightness, conduct, knowledge of the law, but all of that does not save him from what he is as a man.
03:54 -  And what he is as a man is revealed in why he is addressing Jesus. He's addressing him in order to contradict him, to embarrass him, to find him out, to reveal that he's a fraud. How do you know that, Katz?
04:10 -  Because that's how I'm engaged by my own Jewish kids now. And if you're in earnest in your own witness, you'll have people coming to you, raising questions that are not really questions, they're traps.
04:23 -  And so this man was seeking to trap Jesus. The remarkable thing is, Jesus does not make out that as if he's unaware of what this guy's about. He doesn't at all allude to it.
04:35 -  But he knows what is represented here, and you need to know, because the dialogue and the exchange between them is of enormous significance for us on Resurrection Sunday. And so a certain lawyer stood up and tempted him, saying,
04:53 -  Master, teacher, what shall I do to inherit eternal life? And Jesus answered him, what's written in the law? How do you read it?
05:06 -  And he answered and said, Thou shalt love the Lord thy God with all thy heart, with all thy soul, with all thy strength, with all thy mind, thy neighbors, thyself. And Jesus said to him, you have answered right, this do, and thou shalt live.
05:21 -  So that would give the impression that this guy's tuned in, and Jesus has nothing to say but to offer him, he's affirming that what this man said is right. How do you inherit eternal life?
05:33 -  You do this, you live to a certain law of loving God with all your heart, all your mind, all your soul, and your neighbors, thyself. And Jesus said, this do, and thou shalt live.
05:44 -  You know what I would say? If you can do this, you're really living it. Your doing this does not give you life.
05:55 -  This do, and you shall live. But because you're living, you shall do this. That is to say, no man, Jewish or otherwise, can love God with all his heart,
06:05 -  all his soul, all his mind, and all his strength, let alone his neighbors and self. It's a patent, total, human impossibility. Haven't you found that out there?
06:16 -  That God, the first commandment, floors us. So here's this guy, because he recites it, thinks that he has qualified. But Jesus' answer needs to be weighed.
06:28 -  This do, and thou shalt live. If you can do this, you don't obtain eternal life. If you can do this, you do this because you have eternal life.
06:40 -  Only the life of God, which is the eternal life, will enable you to do this. As somebody said in our fellowship years ago, it takes God to love God. Anything else is just a religious hit and miss.
06:55 -  But the first commandment finds us out. It's total, it's ultimate. It's a requirement that cannot be fulfilled by any man, even a lawyer,
07:05 -  even a Jewish lawyer, because a Jewish lawyer is the epitome, excuse my language, E-P-I-T-O-M-E, of man, of religious man, of ethical man, and moral man. And yet we have already learned he's a wise guy, he's out to contradict Jesus,
07:24 -  and Jesus lets him recite what is correct. But live to recite it does not make you correct. This do and thou shalt live.
07:36 -  But he willing to justify himself said unto Jesus, and who is my neighbor? Because you love God as yourself, with all your heart, and your neighbor as yourself. So here's this guy still trying to make Jesus, because it says willing to justify himself.
07:55 -  He's still not asking sincere questions. He's asking questions to vindicate himself, and make him come out smelling like a rose, and making Jesus to look like a fool.
08:06 -  But the Lord is not easily trapped. And so then Jesus gives the long story about that man who has encountered thieves, and is left half dead, beaten, and cut up, and by the side of the road,
08:21 -  and the priest passes by the other side, and another righteous man, but a Samaritan, a half-breed, look the Samaritan saw it, a half-breed mixed Jewish and Babylonian
08:38 -  that they brought in to fill in that area. He stops, and he takes care of this man, he has mercy. And verse 37, after fixing it up and bringing it to an inn,
08:52 -  and paying the innkeeper to care for him, if there's anything that's over that expense, I'll pay you in full on my way back. And Jesus said in verse 37, he that showed mercy to him is your neighbor.
09:07 -  Then said Jesus to him, go and do thou likewise. That doing you shall live, go and do that likewise. If you can show mercy to a man for whom there's no profit in it for you,
09:22 -  where you would by every instinct walk around him rather than stop for him, if you can do that, that's your neighbor, and you're fulfilling the commandment to love God with all your heart
09:33 -  and your neighbor as yourself. Just do, and you show mercy. Well, to show mercy is to show God, for God is mercy.
09:44 -  And when Moses said, show me your glory, God hid him in the cleft of a rock and showed him only his rear parts, and it says that the chesed, the tenderkindness, the mercy of God, passed before him.
10:00 -  And so this is my name. You ask for my glory? This is me, my mercy. And when Jews will obtain that mercy in the last days,
10:09 -  they will have obtained God. And our mandate is to make that mercy available that they might obtain it, that we will receive mercy, might extend mercy.
10:21 -  To receive mercy and to extend mercy is to receive God and to extend God in his essential character and attribute, which is full of compassion, which will not circumvent,
10:32 -  will not go around, will not look the other way, will attend to the person in need at one's own expense or worse, maybe in one's own life, that's mercy.
10:43 -  That's what the Lord himself expressed at the cross, his own life, in mercy towards sinners, which we are. By not passing us by, he didn't even have to come down from heaven.
10:55 -  He could have stayed there with the Father and continue to enjoy an exalted relationship, but he came down and into our situation because we're at the side of the road, beat up and stopped for us
11:11 -  and gave us not just wine and oil in our wounds, but his own life. So mercy is God. And that's why he could say to this wise guy,
11:21 -  yes, if you show mercy, that's your neighbor, this is where you shall live. And the guy walks away not realizing that he has been trapped.
11:33 -  He sought to be the wise guy, but the Lord has trapped him to show, if we understand the text right, that you cannot do the law. You cannot love God.
11:44 -  You cannot love your neighbor as yourself. If you can do it, you do it only because God, because of the resurrection enablement,
11:52 -  because of the power of the life. Otherwise, humanly, we're incapacitated. We're nice guys maybe under ordinary conditions,
12:01 -  but a little bit of strain and that's the end of it. So I remember in community, when we first got started, we used to take communion like once a month, once a week.
12:14 -  And then after a while, when our good guy stuff ran out and we could not be nice to each other anymore, because that natural ability to be nice was exhausted.
12:25 -  And living together with the same people day in and day out under trying circumstances in the severe northern Minnesota weather revealed that your humanity could only go so far.
12:37 -  We began to take communion day in and day out, you know why? Because we naively believed that eating and drinking of his body and blood gave us the substance of his spirit and his life,
12:49 -  that we could be true neighbors, that we could be kind, that we could be gracious. I'm very occupied with this lady, Mrs. Schiavo, is that her name?
13:03 -  And the attempts to keep her alive. And I wrote a little something yesterday, I want to read. You may disagree with this and it may offend you,
13:19 -  but I tell you that I have been chafed in my inner man from the very beginning of this whole episode about keeping this woman alive. I'm not with the evangelicals and the Catholics
13:34 -  who have come together in a new union, weeping and pleading outside of her hospital or whatever it was, that God might answer and extend life.
13:49 -  So here's what I wrote. Thinking aloud on the Schiavo case, like you have been keeping abreast of all the Fuhrer
13:58 -  over the woman in this tragic condition, kept alive these 12 years through medical technology. From the very beginning of the Fuhrer to preserve her vegetative existence,
14:11 -  I wonder why my gut reaction was not at all in sympathy with the evangelical Christianity's desperation to perpetuate that condition in the name of life.
14:24 -  As if the issue of preserving her is the issue of life, though the doctors have understood and determined many times over these 12 years, she is totally brain dead.
14:34 -  She's incapable of any response, any reaction, any awareness, and that the force of feeding has only kept her physically going, but in any sense in which we would define life, she's dead.
14:52 -  Why don't they allow her the dignity of death, I suppose? Why is it so desirable and perpetuated this minimal existence next to the glory of eternally abiding with the Lord in heaven?
15:04 -  Paul, the definitive spokesman of apostolic faith, himself cried out, to be absent from the body is to be present with the Lord. Why don't we just with joy receive the graduation
15:16 -  from this earthly life to the heavenly? After all, what is this earthly life? What a preparation for the eternal life.
15:23 -  So when God gives us the gift of ascending into that life, we would receive it with grace and not perpetuate ourselves down here at the earth as if there is no afterlife, as if there's nothing transcendent beyond this life.
15:40 -  To be honest, so the Catholic evangelical Protestant camp do not seem to believe this and have campaigned for federal and judicial intervention at the highest levels,
15:52 -  controverting if not threatening the deepest tradition and safeguards of our political system. I don't know if you can understand that, but when they invoke Congress to pass a special law for an individual,
16:06 -  when they nullify the determination to which the state of Florida had already come by exercising federal power or bringing the case before a federal court, when the state courts have already made a decision,
