Widows and Slaves Indeed

00:00 -  And it's unspeakable privilege to be a slave of Christ So Doing the will of God from the heart
00:12 -  With goodwill doing service as to the Lord and not to men Knowing that whatever whatsoever good things any man doeth the same will he receive of the Lord whether he be bond or free Whether you're the master or the slave
00:26 -  If you do it if you're a master as unto the Lord, you're going to be treating your bond slaves differently Not because you're required by social legislation but because you're in a relationship with one who is a master over you and
00:40 -  You want to extend to those who are under you the same kind of grace that has come from above to you See how God has an answer Christ is the answer
00:51 -  But not in some kind of Formulaic way it's a mode of being if people could see it. We don't need revolutions We don't need social upheavals because there's nothing the book of Proverbs says
01:03 -  there's nothing more terrible than for a servant to become a ruler and When we were in your Caterinburg, that's the city where the Tsar was was butchered He and his family were shot and killed and the order was given by a Jewish Bolshevik
01:21 -  That's going to come back on our heads. You can believe and if you see the pictures of this are talk about nobility The guy is something just to look at his picture I Would rather take my chances with rule by someone like that
01:39 -  Then some gutter snipe who has come up from the bottom full of grievance and resentment and is able to pull a trigger And he's now going to call the shots over me and over the nation For a servant to be to take on ruling a rulership by force
01:56 -  is Something not to be desired. We the way that the world is constituted That God made the world with Kings with the rulers and the ruled with
02:10 -  Masters and slaves is another way of understanding reality and That there's a greater issue at stake than men Tearing up in order to court obtain freedom and I'm looking at pearls
02:24 -  I'm saying that thinking as the former US history teacher about the American Civil War and What that has done to this nation? Beyond all of the foreign wars that we have ever fought more lives were lost in America
02:38 -  Between north and south over the issue of slavery than any any foreign war in which we've ever been engaged and And the fabric was torn in such a way that has not been repaired to this day And what has been the result even of the civil rights movement?
02:55 -  Though it was pacifistic. It did not Employ violence, but the language and the spirit and temper. What comes out of these things when you tear? And and the dawn breaks are men happier are their lives more real is there greater justice?
03:14 -  In what they have obtained and won through those means or if we had remained in the condition in which God has set us and believe that God himself in his sovereignty has established it and that there's something to be wrought and displayed there of a kind that
03:32 -  Glorify him and bring answer to men There will be peace there will be benefit. There will be benevolence There there will be the revelation of God and what are we seeing in Israel?
03:43 -  But something of the same thing through usurping through force through manipulation through intimidation through threat a Jacob people taking a land by the exertion of themselves
03:56 -  Rather than waiting to receive it as inheritance and as gift under the conditions that God intended that were covenantal We would have seen another Israel altogether. We would not be seeing blood being spilled in the in these Palestinian cities, we would not see these days of rage and outrage and
04:14 -  vehemence and bitterness that comes when men are Exacerbated by the demands of others upon themselves and like brings like hatred brings hatred violence brings retribution and more so so they they blow up a
04:30 -  Hamas leader with a helicopter with it with a missile and as the reprisal 1520 innocent Israelis are then killed in streets and in cities and in response to that another wave of violence It's a downward spiraling. It's death death death. This is the way of life. What is apostolic is life
04:50 -  Because God is the creator and life is respected and revered because of him and Though there are seeming injustices and things that need to be born Saints are tried by that they are perfected by that to be a God pleaser and not a man pleaser
05:07 -  Is not just some superficial upward accommodation It's the deepest expression of some inward work of God Because you cannot feign this if you're going to be a God pleaser, it's not merely superficially making an adjustment
05:22 -  It's got to come out of the deepest Inward working of God or else. It's phony It's no longer pleasing to God not to man
05:31 -  So the Lord Paul is saying what we should do, but he doesn't make spell out What this will require in your relationship with God? If you're going to be this kind of a servant to this kind of a master who should be doing better because he's also a Christian
05:47 -  But he's not doing it and you're not resentful and you're serving him even all the more Paul says all the more Show yourself Faithful that kind of conduct can only issue out of the deepest relationship with God himself
06:02 -  Which is as much available to a slave as it is to the master Is not enough over You your ability to perfect and develop a relationship with God
06:14 -  That would enable you not to be a man pleaser Is available as much to the man in chains as to the man with the whip? Then nothing externally has to be altered and yet within that framework
06:30 -  If we take the word of Paul seriously and seek its fulfillment would bring about the most radical transformation in society itself bloodlessly Knowing that whosoever what so ever good things any man does the same shall I receive of the Lord whether he be bound or free
06:48 -  The same shall he receive of the Lord when? When will he receive of the Lord not necessarily in this life His good service as a God pleaser and not a man pleaser is not necessarily going to bring an immediate benefit now
07:04 -  And if he's going to look for that in the change that is going to come from his master's boss He's going to be disappointed But the man who is a God pleaser does not look for immediate gratification
07:17 -  When will he receive of the Lord he'll receive of the Lord when the Lord comes and brings his reward with him and gives to? Every man according to his works. This is an appeal to those who have an s catalogical mindset of expectation that do not demand or need
07:35 -  Instant gratification and pay off now for they know that there's a payoff coming that when it comes it is eternal and Enduring and beyond description that I have not seen that you have not heard what God has laid up for those who love him And that motive and that belief can enable a man to plug away day after day in dreary monotony and regularity and
07:57 -  Injustice and not gripe and not complain and not murmur, but rejoice for he knows how much greater Reward that will be his he lives in anticipation of that reward Or else this is meaningless
08:10 -  This kind of counsel is like water off the duck's back. It is totally impractical. It can't be performed Unless it is set in its s catalogical framework of Expectation and of course what is an apostle but that very thing an apostle is one who has brought eternity into time
08:30 -  He sees he talks about this present world. Don't be don't be Conformed to this present world. What do you mean? Is there any other? Yeah, this present thing is passing This is momentary the one that's coming is the real one that's eternal and for which this is a time of preparation
08:48 -  And you can find that preparation for your eternal reward as much in as a slave as you can as a master In fact you you may find an eternity you have more privilege more honor more distinction More oversight over five cities and over ten than your master you were his slave in this earth
09:07 -  But because you bore that social station with Christian dignity and Patience and forbearance as coming from the hand of the Lord and serve the Lord in that place without resentment without disappointment in Anticipation that when that future comes your reward and its distinction honor will much exceed the men who rule over you
09:29 -  This is reality and unless we take this into consideration We ourselves are Hitting on three or four similar and we're just putting our way through life. We are perhaps more dead than
09:41 -  Than than alive These this whole thing needs to be factored in and made as real to us as Paul Paul is speaking from the vantage point of uttermost reality. He sees
09:55 -  Eternity he sees the reward that is to come and therefore he can counsel men who are in the most Unappreciated Despicable places of servitude and say don't bolt. Don't get violent. Don't do your master in but
10:11 -  Patiently take that as the place that God has assigned and in that place Show to this man even greater service all the more because she's a believer, but he's not acting like it and Your reward will be the greater in the Lord's coming
10:26 -  And You masters do the same thing in verse 9 for bearing threatening knowing that your master also is in heaven and There's no respect of persons with him
10:36 -  So there's a little side note to the men who are masters that they need also to reckon on who is their master Finally my brother to be strong the Lord and in the powerless might Don't let that pass without due appreciation finally my brethren
10:51 -  Paul is speaking both to slaves and to masters and they're both his brothers talk about freedom in Christ talk about
11:01 -  rising above class distinctions and race distinctions and all of the kinds of things that make men to feel inferior or Cut out or shut out shut out Paul says my brethren Doesn't matter what your social station is whether you're a master or slave is not your determination, but his
11:18 -  But here's the one thing that encloses us all you're my brethren This this is no phony Social liberal showing that he has a sympathy for the poor. This is deeper. This is my brethren
11:34 -  We're pulling here together For the for the Lord and his name and his honor So put on the whole armor of God that you may be able to stand against the walls of the devil
11:42 -  We don't wrestle against flesh and blood your master is not the enemy There are greater issues beyond
11:50 -  flesh and blood but the prince of powders and powers of darkness and So put on the breastplate of righteousness that your feet shard with the gospel in preparation of peace Taking the shield of faith where when you shall be able to quench all the fiery dots of the wicked even though you're a slave
12:05 -  You have full Opportunity to put on this armor. This is not just for your master because he has a greater social privilege No all of this provision to fight the fight of faith
12:17 -  Which is not with weapons that are carnal but spiritual is as much your privilege as his you can put on the breastplate of righteousness as a slave how by Conducting yourself without resentment and bitterness to the man who is overview. That is righteousness and
12:33 -  Then and save yourself from the fiery dots by the shield of faith That will quench all the fiery dots of the wicked And you know what those fiery dots are to a slave that you don't you fool you don't have to suffer this
12:46 -  This guy is just as a phony baloney believer He look at the pretense what has he ever done since he's come to the faith that has changed your situation one night Oh, where has he ever given you greater consideration?
12:58 -  Where's he giving you a day off an hour off that guy's a phony Paul's counsel is a bunch of baloney It's just to make you subjective and subjective and servile and keep the system going This he's a false apostle you have every right to throw off these shackles and you're a free man in Christ now
13:15 -  You don't have to take this guff Paul says take take up the shield of faith. That's the fiery dot That's that's the accusation of the enemy who knows exactly what to finger what to appeal to you
13:27 -  Don't have to submit yourself to that You're a free man yours from spiritualism. You're more spiritual Put up the shield of faith and don't let those dots get to you
13:38 -  stay with the council you got from God's own man and You have access To every defense and all of the shield of faith and the armor and the best way to rest as anyone
13:50 -  The fact that you're a slave does not prohibit you from taking on the full armor of God So From then Paul says pray for me for utterance that was given to me to open my mouth boldly to make known
14:08 -  The mystery of the gospel because what Paul is proclaiming is a revolution without blood What Paul is proclaiming is more than a little formula for how to get saved
14:19 -  Paul is touching the deepest issues of life and society That that is the genius of the gospel that has come down from heaven It's a mystery and it can save men from violence from death from misspent living from false causes
14:34 -  Who should know that better than we have the 20th century of what false causes have meant for mankind? I think there were 20 million kulaks that Stalin Annihilated a kulak was a middle-class peasant
14:47 -  He wanted to standardize the whole of Russian agriculture in a system and all of these individual Middle-class farmers who had histories of traditions Blood nothing but blood and what is Russian agriculture? My God, they're if they can get across the bread
15:05 -  They're grateful for a system that continually fails because systems must fail when the organic thing that has been wrought over the process of Trying through generations of skill devotion to the soil attention and love for animals is destroyed overnight by men with systems Paul's gospel is a revolution and that's why they pray for me. I'm not just preaching a little
15:28 -  cutesy thing here step one step two What my word is is the word from heaven on how men ought to live and for that I need utterance and pray for me For I am an ambassador in bonds
15:42 -  That therein I may speak boldly as I ought to speak I could not address the situation Except that I myself were also in bonds if I was speaking from any other places I've said before of social privilege or I'm an apostle and I've got this coming and that
15:58 -  My words would fall limply to the floor, but because my social condition is worse Physically and naturally than those whom I am addressing my word to them has greater credibility and power For I have not a place to lay my head and I'm hated
16:13 -  I'm a despised and I'm beaten and I'm not left for dead and I have no certain future Known and unknown. I'm a man in bottoms. My life was not my own. I don't call my own shots I don't say where I'm going or what I'm going to do or even know what to speak
16:28 -  I'm I'm really a slave, but I'm rejoicing in it and my exhibition of the freedom in Christ that I Bear is itself a liberating message whether I speak it or not Just my coming as one in chains is an encouragement and an illumination
16:47 -  For those in physical change and in servitude that that's not the worst of all evils That even in that the grace of God can come and beyond that Great reward for your ability to bear it as I'm bearing it also
17:00 -  in this present world Well, let me try and close because this is so rich and I love it so much As this ex-Marxist, you know how Das Kapital begins, the classic work of Karl Marx
17:12 -  Which is the invitation to social revolution and bloodshed Workers of the world throw off your chains You have nothing to lose, but your chains. That's how Das Kapital begins
17:27 -  So we have two gospels the worlds the both coming from Jews Throw off your chains, you don't have to take this You can be free free for what free for a commissar free for some punk
17:41 -  Who's going to tell you now how to run the show and regulate your life in every detail That freedom is the worst slavery than what you were under and its end is violence and death God says keep your chains
17:55 -  Paul says I myself am also in chains Paul says I myself am also in chains But I kiss them and I thank God for them for in his great sovereignty. He has determined my call
18:09 -  I'm not an apostle by my own choosing and you're not a carpenter or a bookkeeper or working in the supermarket or Department store by Caprice or by accident you're in that place and in that call as much as I am in in mind And in that very place is as much
18:25 -  Portent and possibility for the showing forth of the grandeur of God and the wisdom of God the grace of God As any of place and that's why you're there You're not there to make a living. That's that's a secondary thing
18:37 -  You're there to represent me to be a witness unto me And I said to this teacher as we were driving in the car in the Ukraine whose kids were Insubordinate I said what you need to determine whether teaching is a vocation or a calling
18:53 -  Whether you're a professional or a servant of God Have you ever faced that issue and ever decided that issue because once you were a servant you'll take the guff You'll bear up with those kids because more is at stake than your success and your professional honor
19:10 -  What's at stake is their souls and the end eternity and what you display before them in your patience Day by day for they'll have no other expression of God than what they see in you in that classroom where they're living in an atheistic country This one last there you can make a note of first Peter 221 and
19:37 -  Colossians 322 where Paul speaks on the same subject with other insight But foot without time for tonight today just 1st Corinthians 7 One little note that needs to be added
19:54 -  Not how cold being a slave What a question Well, I'm not cold. I'm not a preacher
20:05 -  I'm at the bottom of the social pile. I don't I don't even have an identity My life is not my own. I can't even marry I Can't leave this property
20:15 -  Poses. Are you cold? Being a slave. It's a very same question. I put to this teacher Are you a vote? Are you a professional who has a vocation or are you called?
20:25 -  Into a mission field that is called the schools the high schools You need to know that you have to ask that question And of course many called to chosen you may despise you're calling you may not recognize it as a calling and you're living
20:42 -  Therefore only as a flunky only as a vocation only as a job. Well, no wonder it's dreary Because you're not seeing it in the magnitude of what it in fact is as God sees it. You're not seeing it apostolic Lee You're seeing it humanly
20:56 -  Are thou called being a servant don't you care not for it don't don't give a rap But that thou mayest be made free use it rather For he that is called in the Lord being a servant is the Lord's freemen
